Name,geometry_layer,wkt
Structure Centerline Tour,"
            <a href=""file:///J:/Daten/Leitungen/PLS-CADD_ab2020/SBB/Trassen/UL_149_Aarau-Rupperswil/132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01.xyz"">132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01</a>","LINESTRING Z (8.0771108922 47.4093694099 36.5, 8.0748718388 47.4089740726 30.9, 8.0727020703 47.4084706113 30.9, 8.0704279184 47.4081691218 34.6, 8.0681544235 47.408222248 34.6, 8.0654076435 47.4079215347 25.4, 8.0637602898 47.4071141211 22.7, 8.0621766812 47.4063379053 20.6, 8.0609971449 47.4057397348 26.5, 8.0578242451 47.4050326246 26.6, 8.0562441961 47.4047333728 24.8, 8.0547571357 47.4037718617 24.8, 8.0533904134 47.4024487245 26.6, 8.0518539969 47.400961206 28.4, 8.0507784275 47.3998372006 17.6, 8.0510490415 47.4003114431 17.9)"
Structure Left Offset Tour,"
            <a href=""file:///J:/Daten/Leitungen/PLS-CADD_ab2020/SBB/Trassen/UL_149_Aarau-Rupperswil/132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01.xyz"">132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01</a>","LINESTRING Z (8.0770782266 47.4092822447 36.5, 8.0749099668 47.4088879357 30.9, 8.0727362726 47.4083837182 30.9, 8.070438404 47.4080794622 34.6, 8.0681627304 47.4081324833 34.6, 8.0654583338 47.4078384364 25.4, 8.0638378432 47.4070411993 22.7, 8.0622551037 47.4062654136 20.6, 8.061058249 47.4056599309 26.5, 8.057862715 47.4049465583 26.6, 8.0563096243 47.4046551652 24.8, 8.0548575428 47.4037131878 24.8, 8.053498876 47.4023970831 26.6, 8.0519637867 47.4009108771 28.4, 8.0508895104 47.3997881995 17.6, 8.0511504184 47.4002535482 17.9)"
Structure Right Offset Tour,"
            <a href=""file:///J:/Daten/Leitungen/PLS-CADD_ab2020/SBB/Trassen/UL_149_Aarau-Rupperswil/132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01.xyz"">132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01</a>","LINESTRING Z (8.0771435579 47.4094565751 36.5, 8.0748337107 47.4090602094 30.9, 8.072667868 47.4085575043 30.9, 8.0704174328 47.4082587813 34.6, 8.0681461166 47.4083120127 34.6, 8.065356953 47.408004633 25.4, 8.0636827362 47.4071870428 22.7, 8.0620982585 47.4064103968 20.6, 8.0609360406 47.4058195387 26.5, 8.057785775 47.4051186908 26.6, 8.0561787678 47.4048115804 24.8, 8.0546567283 47.4038305355 24.8, 8.0532819507 47.4025003657 26.6, 8.0517442069 47.4010115348 28.4, 8.0506673445 47.3998862015 17.6, 8.0509476643 47.400369338 17.9)"
Alignment Tour,"
            <a href=""file:///J:/Daten/Leitungen/PLS-CADD_ab2020/SBB/Trassen/UL_149_Aarau-Rupperswil/132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01.xyz"">132kV Axpo-SBB Leitungen Aarau-Rupperswil_v01</a>","LINESTRING Z (8.0921390799 47.4071934533 150, 8.104699939 47.4073669819 150, 8.1033855984 47.4072585106 150, 8.1046960304 47.4069478637 150, 8.1033855984 47.4072585106 150, 8.1046967243 47.4065790873 150, 8.1033855984 47.4072585106 150, 8.0951970731 47.408575779 150, 8.0865720236 47.4077350467 150, 8.0771108922 47.4093694099 150, 8.073196472 47.4100453499 150, 8.1045346393 47.4068615466 150, 8.1030836595 47.4071479568 150, 8.099958182 47.4076249318 150, 8.092059881 47.4071885202 150, 8.0890643162 47.4067420661 150, 8.0773884219 47.4033554759 150, 8.060380437 47.4064837907 150, 8.0579332448 47.4080475923 150, 8.056081525 47.4092375484 150, 8.0771108922 47.4093694099 150, 8.0748718388 47.4089740726 150, 8.0727020703 47.4084706113 150, 8.0704279184 47.4081691218 150, 8.0681544235 47.408222248 150, 8.0654076435 47.4079215347 150, 8.0621766812 47.4063379053 150, 8.0609971449 47.4057397348 150, 8.0578242451 47.4050326246 150, 8.0562441961 47.4047333728 150, 8.0547571357 47.4037718617 150, 8.0533904134 47.4024487245 150, 8.0518539969 47.400961206 150, 8.0507784274 47.3998372004 150, 8.0518539969 47.400961206 150, 8.0510490413 47.400311443 150, 8.0951970731 47.408575779 150, 8.099958182 47.4076249318 150, 8.0949458 47.4073478073 150, 8.0920844383 47.4070808813 150, 8.0858106349 47.4064954495 150, 8.0838475277 47.4047860512 150, 8.0805637069 47.4040797231 150, 8.077461527 47.4033766228 150, 8.0604532999 47.4065360705 150, 8.0949458 47.4073478073 150, 8.0858524165 47.4064993531 150, 8.0847111809 47.4053977945 150, 8.0835186243 47.4051337409 150, 8.0818920081 47.4048170854 150, 8.0767665537 47.4033554617 150, 8.0665198466 47.4052980385 150, 8.0621410631 47.4061040651 150, 8.0605299833 47.4065336794 150)"
11/91,Structure locations,POINT Z (8.0771108922 47.4093694099 0)
700,Structure locations,POINT Z (8.0748718388 47.4089740726 0)
701,Structure locations,POINT Z (8.0727020703 47.4084706113 0)
702,Structure locations,POINT Z (8.0704279184 47.4081691218 0)
703,Structure locations,POINT Z (8.0681544235 47.408222248 0)
704,Structure locations,POINT Z (8.0654076435 47.4079215347 0)
705,Structure locations,POINT Z (8.0637602898 47.4071141211 0)
706,Structure locations,POINT Z (8.0621766812 47.4063379053 0)
707,Structure locations,POINT Z (8.0609971449 47.4057397348 0)
708,Structure locations,POINT Z (8.0578242451 47.4050326246 0)
709,Structure locations,POINT Z (8.0562441961 47.4047333728 0)
710,Structure locations,POINT Z (8.0547571357 47.4037718617 0)
711,Structure locations,POINT Z (8.0533904134 47.4024487245 0)
712,Structure locations,POINT Z (8.0518539969 47.400961206 0)
713A,Structure locations,POINT Z (8.0507784275 47.3998372006 0)
713B,Structure locations,POINT Z (8.0510490415 47.4003114431 0)
